text,label
Bakery selling fresh bread and pastries | production of bakery products,1071
Retail pharmacy selling medicines and health products | retail sale of pharmaceutical products,4772
Mobile phone repair shop | repair of communication equipment,9512
Car wash services | maintenance and repair of motor vehicles,4520
Women's clothing boutique | retail sale of clothing in specialized stores,4771
Grocery store selling food staples and household items | retail sale in non-specialized stores with food predominating,4711
"Hardware store selling tools and building supplies | retail sale of hardware, paints and glass",4752
Furniture manufacturing workshop | manufacture of furniture,3100
Coffee shop serving beverages and light snacks | restaurants and mobile food service activities,5610
Electrical appliance repair | repair of household appliances,9522
Shoe repair shop | repair of footwear and leather goods,9523
Hairdressing salon | hairdressing and other beauty treatment,9602
Bookstore selling books and stationery | retail sale of books in specialized stores,4761
Auto parts retailer | retail sale of automotive parts and accessories,4530
Fruit and vegetable market | retail sale of fruits and vegetables in specialized stores,4721
Computer repair services | repair of computers and peripheral equipment,9511
Tailor shop specializing in men's suits | manufacture of wearing apparel,1410
Jewelry store | retail sale of watches and jewelry in specialized stores,4773
Fast food restaurant | restaurants and mobile food service activities,5610
Convenience store selling snacks and beverages | retail sale in non-specialized stores with food predominating,4711
decorticator | decorticationg of groundnut,9622
business | selling of livestock,3323
business | manufacturing of peanut butter,5211
gardener | gardening,6111
tailor | tailoring,7531
mason | construction,9313
business | selling,5211
tailor | tailoring,7531
driver | driving,8322
tailor | tailoring,7531
apprentice in vehicle | collection of transport money,5112
driver | driving,8322
plaster-man | plastering of ceiling,7123
plaster-man | plasting,7123
tileman | tilling,7122
carpenter | carpentry,7115
mason | construction,9313
decorticator | decoration of groundnut,9622
business | selling fish,5243
tiller | tilling,7122
tailor | tailoring,7531
groundnut decorticator | decortication of groundnut,9622
electrician | any other electrical work,7411
labourer in construction | bricks moulding,7112
driver | driving,8322
business | selling,5211
apprentice | collection of transport fares,5112
driver | driving,8111
shepherd | raising cattle,9212
business | selling of groceries,5211
mason | construction,9313
gardener | gardening,6111
driver | driving,8322
tailor | tailoring,7531
mason | construction,9313
business | preparing and selling food,9411
business | drying and selling of fish,6222
businessman | selling,5221
"financial officer (agib bank), cooperative. | payment",4313
businesswoman | selling,5211
labourer | moulding bricks,9313
businessman | buying and selling groundnut,3323
gardener | gardening,6111
driver | driving,8322
businesswoman | selling,5211
carpenter | any other carpentry work,7115
businesswoman | selling,5243
carpenter | carpentry,7115
marabout | healing spiritually,2230
sand miner | mining,9311
gardener | gardening,6111
gardener | gardening,6111
businesswoman | selling,5243
gardener | watering,6111
marabout | spiritual healing,2636
painter | painting,7131
labourer | clearing of cashew farm,9622
carpenter | roofing,7121
driver | driving,8322
gardener | gardening,6111
busineswoman | selling,5211
gardener | gardening,6111
teacher/oustass | teaching,2341
businessman | harvesting and selling palm nuts,5211
gardener | gardening,6111
gardener | gardening,6111
caretaker/security | caretaking,5414
labourer | moulding bricks,9622
electrical installator | installing appliances,7413
gardener | gardening,6111
businesswoman | selling,5211
fisherman | fishing,6223
businesswoman | selling,5211
labourer | moulding bricks,9313
businessman | selling,5243
farmer | clearing of cashew farmer,6310
farmer | clearing of cashew farm,6310
labourer | moulding bricks,9313
farmer | clearing cashew farm,6310
gardener | gardening,6111
fisherman | fishing,6223
firewood seller | collecting and selling firewood,9520
firewood collector and seller | collecting and selling firewood,9520
cashew farmer | farming,6112
cook | cooking,5120
tailor | tailoring,7531
driver | driving,8322
businessman | cooking and selling food,5212
businessman | collecting and selling firewood,9624
farmer | farmer,6112
businessman | selling,5221
gardener | gardening,6111
labourer in construction | moulding bricks,9313
farmer | clearing of cashew farm,6310
businesswoman | selling,5211
businesswoman | selling,5221
apprentice | collecting fairs,5112
farmer | clearing of cashew farm,6114
driver | driving,8322
fisherman | fishing,6223
marabout | spiritual healing,9622
labour/ birth attendant | health care service,5321
business | selling,5212
driving | driving,8322
wood cutter | wood cutting,9624
soldier | defense,310
cattle rearer | cattle rearing,6330
business | food selling,5211
business | food seller,5212
cattle rearer | cattle rearing,6121
tailor | tailoring,2163
driver | driving,8322
farmer | harvesting groundnut,6310
vendor | selling,5212
driver | transportation,8322
businesswoman | selling,9520
driver | transportation,8321
driver | driving,8322
domestic-farm labourer | seed processing,9211
carpenter | carpentry,7115
wielding | wielding,7214
driver | driving,8322
picking groundnut | groundnut,9211
tailor | tailoring,7531
carpenter | carpentry,7115
farmer | harvesting crop,9211
seed processor | seed processing,9211
baker | baking,9411
farmer | seed picking,9211
tailor | tailoring,7531
marson | construction,9313
farmer | picking groundnut from field,9211
farmer | groundnut picking,9211
tailor | tailoring,7531
teacher | teaching,2353
groundnut picking | picking groundnut,9211
groundnut picking | groundnut picking,9211
business | food selling,5212
businessman | gathering of firewood,9624
business | selling bread,5212
wood cutter | cutting of wood,7523
business | buying and selling of groundnut,5211
carpenter | carpentry,7115
business in firewood | selling of firewood,9624
program manager | community service,2424
soap manufacturer | soap maker,5243
charcoal | charcoal mining,9520
farm labourer | clearing of farm,9214
mechanic | repair machines,3115
carpenter | carpentry,7115
business | picking ground from field,6310
business | picslks groundnut from field for sale,5211
wielder | wielding,7212
gardener | gardening,6111
gardener | gardening,6111
fruit gatherer | gathering of wild baobab,9622
wilder | welding,7212
guards crop from rodents/ birds | protecting crops from rodents/birds,9622
gardener | gardening,6111
teacher | teaching,2341
gardener | gardening,6111
mason | construction,9313
welder | iron work,7212
dentist | any other dental services,2261
teacher | teaching,2341
carpenter | roofing,7115
shepherd | cattle rearing,6130
marabout | spiritual healing,2230
apprentice in passenger vehicle | any other apprenticeship work in the vehicle,5112
painter | painting,7131
program officer | programming of projects,1222
shopkeeper | selling,5221
teacher | teaching,2330
gardener | gardening,6111
labourer | bricks moulding,9313
labourer | any other construction activities (ordinary),9313
driver | driving,8322
gardener | gardening,6111
farmer | farming,6310
welder | welding,7212
labourer in construction | construction,9313
labourer in construction | moulding bricks,9313
labourer in construction | moulding bricks,9313
tailor | tailoring,7531
sand miner | sand mining,8111
businesswoman | selling,5212
business | selling,9624
labourer in construction | construction,9313
driver | driving,8322
carpenter | carpentry,7115
farmer | farming,6310
businesswoman | selling groceries,5211
tileman | tiling floor,7122
electrician | electrician,3113
farmer | farming,6310
marabout | spiritual healing,2230
groundnut decorticator | decoration of groundnut,6310
carpenter | roofing,7115
miller | milling of grains,8160
businesswoman | selling,5211
driver | driving,8321
groundnut decorticator | groundnut decorticator,9622
agricultural labourer | decortication of groundnut,9622
driver | driving,8322
farmer | decortication of groundnut,9622
driver | driving,8322
businessman | selling,5211
businesswoman | selling,5212
mason | building,9313
mason | construction,9313
operator of caterpillar | any other road construction duties,9313
road constructor | operator of caterpillar,9313
construction labourer | any other road construction duties,9313
operator of caterpillar | road construction,9313
day labourer | any other labour activities,9313
ports labourer | any other landing duties at ports,9333
businesswoman | selling,5212
labourer | building,9313
businessman | selling,5211
shopkeeper | selling,5221
apprentice in driving | driving,5112
farmer | farming,6310
mason | construction,9313
labourer | labourer in onstruction,9313
businesswoman | selling,5243
labourer at ports | handling cargoes,9613
carpenter | carpentry,7115
well driller | drilling,8113
wood planner | planning wood,7523
labourer | handling of cargoes,9321
farmer | farming,2132
businesswoman | selling,5211
driver | driving,8322
businessman | selling,5211
firewood seller | selling firewood,9624
businessman | selling,5211
teacher | teaching,2341
driver | driving,9332
farmer | farming,6310
businessman | selling,5212
mason | construction,9313
businesswoman | selling clothes,5211
welder | welding,7212
fisherman | fishing,6223
businesswoman | sales of roasted groundnut,5243
carpenter | carpentry works,7115
business | sale of roasted groundnut,5243
electrician | any other electrical work,3114
businesswoman | sale of food,5212
businesswoman | sale of fragrance,5212
businesswoman | sale of roasted groundnut,5243
community health sensitizer | sensitize on health surrounding women and children,3253
incinerator | burning of used tools,5321
mason | construction,9313
businesswoman | selling,5212
weaver | weaving of clothes,2163
carpenter | manufacture of beds,7115
welder | welding,7212
mechanic | repair of motor vehicles,7231
businessman | selling of groceries,5211
businesswoman | selling,5211
mechanic | repair of motor vehicles,7231
farmer | farming,6114
businesswoman | selling of roughage,5211
farmer | farming,6114
businesswoman | making and selling of roughage (netetu),5211
driver | driving,8322
motorcycle driver | transportation of passengers,8321
businesswoman | making and selling roughage,5211
mason | construction,9313
labourer | decortication of groundnut,9622
businesswoman | making and selling roughage,5212
labourer | decortication of groundnut,9622
firewood seller | selling of firewood,9624
businesswoman | selling of roughage,5211
donkey driver | transportation,9332
